Date,Steps,Active_time(min),Distance_KM,Total_Calories_burned,Sleep_after_midnight,Sleep_Hours,Pain_Score (0-10),Class_Hours,Study_Hours,Morning_Walk (1/0),Heavy_Chores (1/0),total_screen_time
2026-04-11,4502,43,3.1,1398,1,5.3,3,0,5,1,1,6
2026-04-12,5012,51,3.6,1410,1,5.5,3,0,2,1,1,6
2026-04-13,4112,39,2.7,1387,0,6.5,4,5,3,1,1,7
2026-04-14,3811,35,2.5,1381,1,6.0,4,2,4,1,1,6
2026-04-15,4312,41,2.8,1391,1,5.4,2,2,3,1,1,7
2026-04-16,4601,44,3.2,1402,0,7.0,0,2,6,1,1,5
2026-04-17,3912,36,2.6,1384,1,6.0,1,2,4,1,1,6
2026-04-18,3204,0,2.52,1366,0,5.4,0,0,0,0,0,0
2026-04-19,5886,37,4.1,1445,0,6.4,2,0,3,1,1,3
2026-04-20,4064,42,2.73,1415,0,6.3,2,5,2,1,1,7
2026-04-21,4321,36,2.88,1409,0,9.0,2,2,1,1,0,3
2026-04-22,3891,46,2.59,1418,0,6.3,0,5,1,1,1,6
2026-04-23,4611,29,3.23,1393,0,8.0,2,2,6,1,0,8
2026-04-24,4669,36,3.12,1412,1,5.4,6,0,5,1,1,5
2026-04-25,3905,58,3.01,1406,1,5.4,2,0,6,1,1,6
2026-04-26,4197,43,2.87,1419,0,7.3,1,0,5,1,1,5
2026-04-27,4079,39,2.72,1406,0,9.5,0,5,2,1,0,7
2026-04-28,3906,45,2.7,1417,0,7.5,1,2,6,1,1,8
2026-04-29,3777,38,2.47,1394,1,5.5,3,5,4,1,0,9
2026-04-30,4476,41,3.12,1413,0,7.0,2,2,5,1,1,6
2026-05-01,7717,73,5.32,1515,0,6.5,5,2,4,1,1,5
2026-05-02,4169,37,2.87,1409,1,5.2,6,0,6,1,1,6
2026-05-03,4255,42,2.93,1416,1,5.3,2,0,5,1,1,7
2026-05-04,3955,38,2.72,1400,0,6.5,3,5,3,1,1,7
2026-05-05,4311,40,2.98,1415,1,5.4,1,2,4,1,1,6
2026-05-06,4002,36,2.76,1403,1,5.3,3,2,3,1,1,7
2026-05-07,4611,44,3.18,1427,0,7.2,2,2,5,1,1,5
2026-05-08,3892,35,2.68,1399,1,6.0,2,2,4,1,0,6
2026-05-09,4512,43,3.11,1421,1,5.5,6,0,5,1,1,6
2026-05-10,4901,48,3.38,1434,1,5.3,3,0,3,1,1,7
2026-05-11,4112,39,2.83,1407,0,6.3,5,5,2,1,1,7
2026-05-12,3902,36,2.69,1399,1,6.1,3,2,5,1,1,6
2026-05-13,4401,42,3.03,1417,1,5.4,1,2,4,1,1,6
2026-05-14,4789,45,3.31,1432,0,7.0,4,2,5,1,1,5
2026-05-15,3812,34,2.63,1395,1,6.0,4,2,4,1,1,6
2026-05-16,4611,43,3.18,1425,1,5.3,6,0,6,1,1,7
2026-05-17,5012,49,3.46,1440,1,5.5,7,0,3,1,1,6
